accession,lat_parsed,lon_parsed,depth_parsed,depth2_parsed,is_transcriptome
ERR3586798,31.5168,-159.046,115.0,115.0,1
ERR3586800,31.5168,-159.046,115.0,115.0,1
ERR3586801,35.3671,-127.7422,5.0,5.0,1
ERR3586802,35.3671,-127.7422,5.0,5.0,1
ERR3586803,35.3671,-127.7422,5.0,5.0,1
ERR3586804,35.3671,-127.7422,5.0,5.0,1
ERR3586805,32.7526,-122.0013,5.0,5.0,1
ERR3586807,32.7526,-122.0013,5.0,5.0,1
ERR3586808,32.7526,-122.0013,5.0,5.0,1
ERR3586809,32.9986,-121.7698,5.0,5.0,1
ERR3586810,32.9986,-121.7698,5.0,5.0,1
ERR3586811,32.9986,-121.7698,5.0,5.0,1
ERR3586812,32.9986,-121.7698,5.0,5.0,1
ERR3586813,32.931,-121.8645,30.0,30.0,1
ERR3586815,32.931,-121.8645,30.0,30.0,1
ERR3586816,32.931,-121.8645,30.0,30.0,1
ERR3586817,17.0854,-118.8913,5.0,5.0,1
ERR3586818,17.0854,-118.8913,5.0,5.0,1
ERR3586819,17.0854,-118.8913,5.0,5.0,1
ERR3586820,17.0854,-118.8913,5.0,5.0,1
ERR3586822,6.4998,-94.9527,5.0,5.0,1
ERR3586823,6.4998,-94.9527,5.0,5.0,1
ERR3586824,6.4998,-94.9527,5.0,5.0,1
ERR3586825,7.4122,-79.3017,5.0,5.0,1
ERR3586826,7.4122,-79.3017,5.0,5.0,1
ERR3586827,7.4122,-79.3017,5.0,5.0,1
ERR3586828,7.4122,-79.3017,5.0,5.0,1
ERR3586829,43.7056,-16.8794,25.0,25.0,1
ERR3586830,43.7056,-16.8794,25.0,25.0,1
ERR3586831,43.7056,-16.8794,25.0,25.0,1
ERR3586832,43.7056,-16.8794,25.0,25.0,1
ERR3586833,43.7899,-16.9692,25.0,25.0,1
ERR3586834,22.7598,-157.9568,5.0,5.0,1
ERR3586835,22.7598,-157.9568,5.0,5.0,1
ERR3586836,22.7598,-157.9568,5.0,5.0,1
ERR3586837,22.7598,-157.9568,5.0,5.0,1
ERR3586838,22.7598,-157.9568,5.0,5.0,1
ERR3586839,22.7598,-157.9568,5.0,5.0,1
ERR3586840,22.7901,-157.9439,110.0,110.0,1
ERR3586841,22.7901,-157.9439,110.0,110.0,1
ERR3586842,22.7901,-157.9439,110.0,110.0,1
ERR3586843,22.7901,-157.9439,110.0,110.0,1
ERR3586844,22.7901,-157.9439,110.0,110.0,1
ERR3586845,22.7901,-157.9439,110.0,110.0,1
ERR3586846,22.7546,-158.0067,746.0,746.0,1
ERR3586847,22.7546,-158.0067,746.0,746.0,1
ERR3586848,22.7546,-158.0067,746.0,746.0,1
